,paella ,pascha wielkanocna,spaghetti bolognese,lazania,pierogi,czebureki,babka ziemniaczana,kaszanka,kutia,Pizza Neapolitanska,Spaghetti Neapolitana,Kurczak curry,Kalafior w panierce,Ramen,Barszcz czerwony,Schabowy,gnocchi z chorizo i szpinakiem,Grzanka z serem,Kotlety mielone,Kebab,Tagliatelle z szynką parmeńską w sosie śmietanowym,Krewetki,Sushi,kanapka serem i czekoladą
Ula,4,5,3,4,3,x,1,1,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Monika,x,x,x,x,5,x,5,3,x,4,4,x,3,x,5,x,x,x,3,x,x,2,x,x
Maciek,2,x,5,5,x,4,1,1,x,5,x,4,x,x,4,x,x,x  ,x,x,x,x,x,x
Kasper,1,x,1,x,2,x,1,x,5,1,1,1,1,x,x,5,x,x,x,x,x,x,x,x
Filip,x,x,5,5,4,x,4,3,x,1,5,4,2,x,3,5,2,1,4,5,x,x,x,x
Ola,x,3,x,2,5,x,4,1,2,x,x,x,4,x,5,3,x,x,x,4,x,x,x,x
Patrycja,x,x,x,4,4,x,x,1,x,5,5,x,2,1,x,4,x,3,x,4,x,1,x,x
Juliusz,x,x,5,5,5,x,5,x,x,5,5,3,x,4,3,5,x,4,3,5,5,x,x,x
Matusz,x,x,4,5,5,x,5,4,x,x,x,5,4,x,3,5,x,4,1,x,x,1,x,x
Konrad,x,x,x,x,5,x,5,x,x,5,5,5,x,4,5,x,x,x,5,5,x,x,x,x
Rafał,x,x,2,x,x,x,2,x,x,4,2,4,x,5,x,5,4,x,x,x,x,x,4,3
Andrzej,x,x,x,5,5,x,3,x,5,x,x,5,3,x,x,5,x,3,3,x,5,x,3,x
Mateusz Daniel,x,x,x,x,x,x,x,x,x,x,x,x,1,4,1,5,3,4,5,5,5,1,5,5